idx,A,B,C,mu,alpha,ehomo,elumo,egap,R2,zpve,U0,U,H,G,Cv,E
768,2.36283,0.69961,0.68061,3.5043,89.42,0.0053,-0.22968,0.23498,1925.4884,0.231593,-464.705977,-464.693401,-464.692456,-464.744727,45.909,-464.937570374
773,3.07603,0.51035,0.48978,2.7245,89.85,-0.01196,-0.24478,0.23282,2413.5831,0.23122,-464.705536,-464.692715,-464.69177,-464.745521,46.054,-464.936756576
775,3.10325,0.51484,0.49215,2.9652,89.97,-0.01178,-0.24571,0.23393,2411.4873,0.231174,-464.7055,-464.693514,-464.692569,-464.743514,44.106,-464.936674631
776,2.68434,0.61374,0.59902,3.7023,89.14,-0.01218,-0.24607,0.23389,2080.1186,0.231569,-464.703481,-464.6909,-464.689956,-464.742413,45.902,-464.93504989
777,2.74955,0.61668,0.603,2.2063,89.32,-0.00845,-0.24249,0.23404,2078.2345,0.231684,-464.706416,-464.693886,-464.692942,-464.745176,45.806,-464.93809969
778,2.07089,0.82233,0.76723,3.9906,89.21,-0.00058,-0.23217,0.23159,1752.9673,0.232053,-464.703456,-464.691104,-464.69016,-464.741459,45.635,-464.935508855
780,2.77164,0.61663,0.60027,1.6269,89.37,-0.00715,-0.24137,0.23422,2081.9708,0.23157,-464.706532,-464.693935,-464.69299,-464.74546,45.922,-464.938102255
782,3.09797,0.51465,0.49251,2.8512,89.99,-0.01163,-0.2456,0.23397,2411.0591,0.231211,-464.705484,-464.692631,-464.691687,-464.745292,46.118,-464.936695006
783,2.14355,0.80305,0.76136,2.4834,89.23,0.00188,-0.23086,0.23274,1768.3932,0.231864,-464.705696,-464.693156,-464.692211,-464.744133,45.851,-464.937559909
784,3.1057,0.51952,0.49623,2.9461,90.12,-0.00407,-0.23842,0.23435,2399.101,0.231263,-464.70711,-464.694292,-464.693348,-464.747066,46.057,-464.938373504
786,3.10574,0.51952,0.49623,2.9472,90.12,-0.00407,-0.23842,0.23435,2399.0842,0.231262,-464.707111,-464.694292,-464.693348,-464.747073,46.057,-464.938373618
789,3.10129,0.52394,0.49848,1.3822,90.17,-0.00742,-0.24236,0.23494,2385.0246,0.231491,-464.707457,-464.694791,-464.693847,-464.746805,45.874,-464.938948071
793,2.71732,0.54027,0.51811,3.4785,90.06,-0.01013,-0.24005,0.22992,2321.4229,0.231458,-464.703417,-464.690625,-464.689681,-464.744355,45.923,-464.934875116
794,2.28322,0.72651,0.67696,3.5217,89.54,0.00186,-0.22686,0.22872,1906.0118,0.231989,-464.702809,-464.690278,-464.689334,-464.741507,45.717,-464.934797396
797,2.50546,0.65669,0.61651,1.7392,89.43,-0.00884,-0.23839,0.22955,2025.709,0.231743,-464.703717,-464.691153,-464.690209,-464.742859,45.817,-464.935459645
798,3.0979,0.51465,0.49251,2.8518,89.99,-0.01163,-0.2456,0.23397,2411.0529,0.23121,-464.705485,-464.692631,-464.691687,-464.74529,46.118,-464.936694993
799,2.7613,0.65256,0.62939,2.6902,89.48,-0.01769,-0.25079,0.2331,2015.1466,0.232072,-464.71009,-464.697705,-464.696761,-464.74924,45.404,-464.942161442
801,3.07003,0.51298,0.49168,3.9136,89.97,-0.00884,-0.24288,0.23404,2408.5676,0.231202,-464.704838,-464.692016,-464.691072,-464.745488,46.031,-464.936039226
